Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Substinence	100	1	1	31		23				4	24	hp		31	35									1	cred	lcha										0	0	0
of Vita	100	1	1	37		29				4	24	hp		36	40									1	cred	lcha										0	0	0
of Vita	100	1	1	43		35				4	24	hp		41	50									1	cred	lcha										0	0	0
of Vita	100	1		49		41				4	24	hp		51	60									1	cred	lcha										0	0	0
of Life	100	1	1	1		1				5	24	hp		2	7									1	cred	mcha										0	0	0
of Life	100	1	1	9		6				5	24	hp		8	10									1	cred	mcha										0	0	0
of Life	100	1	1	17		12				5	24	hp		11	14									1	cred	mcha										0	0	0
of Substinence	100	1	1	25		18				5	24	hp		15	18									1	cred	mcha										0	0	0
of Substinence	100	1	1	33		25				5	24	hp		19	26									1	cred	mcha										0	0	0
of Vita	100	1	1	41		33				5	24	hp		27	33									1	cred	mcha										0	0	0
of Vita	100	1		49		41				5	24	hp		34	40									1	cred	mcha										0	0	0
of Life	100	1	1	1		1				6	24	hp		1	4									1	cred	scha										0	0	0
of Life	100	1	1	12		9				6	24	hp		5	10									1	cred	scha										0	0	0
of Substinence	100	1	1	32		24				6	24	hp		11	16									1	cred	scha										0	0	0
of Vita	100	1		48		40				6	24	hp		17	20									1	cred	scha										0	0	0
of Strength	100	1	1	1		1				3	30	str		3	5									1	lpur	lcha										0	0	0
of Strength	100	1	1	14		10				3	30	str		6	8									1	lpur	lcha										0	0	0
of Strength	100	1	1	24		20				3	30	str		9	10									1	lpur	lcha										0	0	0
of Strength	100	1		34		30				3	30	str		11	12									1	lpur	lcha										0	0	0
of Strength	100	1	1	10		6				4	30	str		2	4									1	lpur	mcha										0	0	0
of Strength	100	1	1	21		17				4	30	str		5	6									1	lpur	mcha										0	0	0
of Strength	100	1		32		28				4	30	str		7	8									1	lpur	mcha										0	0	0
of Strength	100	1	1	16		12				5	30	str		1	2									1	lpur	scha										0	0	0
of Strength	100	1		36		32				5	30	str		3	4									1	lpur	scha										0	0	0
of Dexterity	100	1	1	1		1				3	31	dex		3	5									1	cgrn	lcha										0	0	0
of Dexterity	100	1	1	14		10				3	31	dex		6	8									1	cgrn	lcha										0	0	0
of Dexterity	100	1	1	24		20				3	31	dex		9	10									1	cgrn	lcha										0	0	0
of Dexterity	100	1		34		30				3	31	dex		11	12									1	cgrn	lcha										0	0	0
of Dexterity	100	1	1	10		6				4	31	dex		2	4									1	cgrn	mcha										0	0	0
of Dexterity	100	1	1	21		17				4	31	dex		5	6									1	cgrn	mcha										0	0	0
of Dexterity	100	1		32		28				4	31	dex		7	8									1	cgrn	mcha										0	0	0
of Dexterity	100	1	1	16		12				5	31	dex		1	2									1	cgrn	scha										0	0	0
of Dexterity	100	1		36		32				5	31	dex		3	4									1	cgrn	scha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		5	7	abs-cold		5	7	abs-ltng		5	7	1	dpur	lcha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		3	5	abs-cold		3	5	abs-ltng		3	5	1	dpur	mcha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		1	3	abs-cold		1	3	abs-ltng		1	3	1	dpur	scha										0	0	0
of the Rogue	100	1	1	25		14				2	33	mag%/lvl	1											1	dgld	lcha										0	0	0
of the Rogue	100	1	1	55		29				2	33	mag%/lvl	2											1	dgld	lcha										0	0	0
of the Rogue	100	1		85		44				1	33	mag%/lvl	3											1	dgld	lcha										0	0	0
of the Rogue	100	1	1	45		23				2	33	mag%/lvl	1											1	dgld	mcha										0	0	0
of the Rogue	100	1		85		46				1	33	mag%/lvl	2											1	dgld	mcha										0	0	0
of the Rogue	100	1		85		48				1	33	mag%/lvl	1											1	lgld	scha										0	0	0
of the Collector	100	1	1	25		14				2	33	gold%/lvl	1											1	lgld	lcha										0	0	0
of the Collector	100	1	1	55		29				2	33	gold%/lvl	2											1	lgld	lcha										0	0	0
of the Collector	100	1		85		44				1	33	gold%/lvl	3											1	lgld	lcha										0	0	0
of the Collector	100	1	1	45		23				2	33	gold%/lvl	1											1	lgld	mcha										0	0	0
of the Collector	100	1		85		46				1	33	gold%/lvl	2											1	dgld	mcha										0	0	0
of the Collector	100	1		85		48				1	33	gold%/lvl	1											1	dgld	scha										0	0	0
of the Valiant	100	1	1	19		14				2	34	crush		6	6									1	cgrn	lcha										0	0	0
of the Valiant	100	1	1	24		18				2	34	crush		4	4									1	cgrn	mcha										0	0	0
of the Valiant	100	1	1	35		27				2	34	crush		2	2									1	cgrn	scha										0	0	0
of the Wicked	100	1	1	19		14				2	35	deadly		6	6									1	cblu	lcha										0	0	0
of the Wicked	100	1	1	24		18				2	35	deadly		4	4									1	cblu	mcha										0	0	0
of the Wicked	100	1	1	35		27				2	35	deadly		2	2									1	cblu	scha										0	0	0
of the Angel	100	1	1	10		6				2	36	hp/lvl	1											1	cred	lcha										0	0	0
of the Angel	100	1	1	20		13				2	36	hp/lvl	2											1	cred	lcha										0	0	0
of the Angel	100	1	1	30		20				2	36	hp/lvl	3											1	cred	lcha										0	0	0
of the Angel	100	1	1	40		27				2	36	hp/lvl	4											1	cred	lcha										0	0	0
of the Angel	100	1	1	50		33				1	36	hp/lvl	5											1	cred	lcha										0	0	0
of the Angel	100	1		60		40				1	36	hp/lvl	6											1	cred	lcha										0	0	0
of the Angel	100	1	1	15		10				2	36	hp/lvl	1											1	cred	mcha										0	0	0
of the Angel	100	1	1	30		21				2	36	hp/lvl	2											1	cred	mcha										0	0	0
of the Angel	100	1	1	45		32				2	36	hp/lvl	3											1	cred	mcha										0	0	0
of the Angel	100	1		60		43				1	36	hp/lvl	4											1	cred	mcha										0	0	0
of the Angel	100	1	1	32		22				2	36	hp/lvl	1											1	cred	scha										0	0	0
of the Angel	100	1		64		46				1	36	hp/lvl	2											1	cred	scha										0	0	0
of the Lurker	100	1	1	1		1				2	37	regen		1	2									1	dgld	lcha										0	0	0
of the Lurker	100	1	1	21		16				2	37	regen		3	4									1	dgld	lcha										0	0	0
of the Lurker	100	1	1	37		32				2	37	regen		5	6									1	dgld	lcha										0	0	0
of the Lurker	100	1	1	1		1				2	37	regen		1	2									1	dgld	mcha										0	0	0
of the Lurker	100	1	1	25		20				2	37	regen		3	4									1	dgld	mcha										0	0	0
of the Lurker	100	1	1	1		1				2	37	regen		1	2									1	lgld	scha										0	0	0
																																						
of Faith	100	1	1	23		16				6	3	abs-fire		6	12									1	cred	jewl										0	0	0
of Stoicism	100	1	1	22		16				6	3	abs-ltng		6	12									1	lgld	jewl										0	0	0
of Desire	100	1	1	23		16				6	3	abs-cold		6	12									1	cblu	jewl										0	0	0
of Malice	100	1	1	37		29				10	6	thorns		100	200									1	blac	jewl										0	0	0
of Fervor	100	1		39		31				10	7	swing1		15	30									1	dpur	jewl										0	0	0
of Frigidity	100	1	1	16		12				8	10	cold-min		5	15	cold-max		10	30	cold-len		50	50	1	dblu	jewl										0	0	0
of the Icicle	100	1	1	35		31				8	10	cold-min		16	30	cold-max		31	60	cold-len		50	50	1	dblu	jewl										0	0	0
of the Glacier	100	1		58		54				8	10	cold-min		31	60	cold-max		61	120	cold-len		50	50	1	dblu	jewl										0	0	0
of Passion	100	1	1	16		12				8	12	fire-min		10	18	fire-max		20	37					1	dred	jewl										0	0	0
of Fire	100	1	1	35		31				8	12	fire-min		19	37	fire-max		38	75					1	dred	jewl										0	0	0
of Burning	100	1		58		54				8	12	fire-min		38	75	fire-max		76	150					1	dred	jewl										0	0	0
of Ennui	100	1	1	16		12				8	13	ltng-min		1	1	ltng-max		30	60					1	dyel	jewl										0	0	0
of Lightning	100	1	1	35		31				8	13	ltng-min		1	1	ltng-max		61	120					1	dyel	jewl										0	0	0
of Thunder	100	1		58		54				8	13	ltng-min		1	1	ltng-max		121	240					1	dyel	jewl										0	0	0
of Ire	100	1	1	4		3				10	14	dmg-max		1	6									1	dgry	jewl										0	0	0
of Wrath	100	1	1	11		8				10	14	dmg-max		7	12									1	blac	jewl										0	0	0
of Carnage	100	1		25		18				10	14	dmg-max		13	24									1	blac	jewl										0	0	0
of Joyfulness	100	1	1	5		3				10	15	dmg-min		1	8									1	whit	jewl										0	0	0
of Bliss	100	1	1	43		37				10	15	dmg-min		5	18									1	whit	jewl										0	0	0
of Envy	100	1	1	1		1				8	16	pois-min		204	204	pois-max		204	204	pois-len		25	25	1	dgrn	jewl										0	0	0
of Blight	100	1	1	16		12				8	16	pois-min		274	274	pois-max		274	274	pois-len		50	50	1	dgrn	jewl										0	0	0
of Venom	100	1	1	35		31				8	16	pois-min		410	410	pois-max		410	410	pois-len		75	75	1	dgrn	jewl										0	0	0
of Pestilence	100	1		58		54				8	16	pois-min		656	656	pois-max		656	656	pois-len		100	100	1	dgrn	jewl										0	0	0
of Daring	100	1	1	9		6				10	17	dex		1	8									1	lgrn	jewl										0	0	0
of Daring	100	1	1	24		18				10	17	dex		9	16									1	dgrn	jewl										0	0	0
of Daring	100	1		41		33				10	17	dex		17	24									1	cgrn	jewl										0	0	0
of Truth	100	1	1	44		36				10	18	balance1		15	15									1	dred	jewl										0	0	0
of Honor	100	1	1	47		35				10	19	regen		3	16									1	cred	jewl										0	0	0
of Avarice	100	1	1	1		1				10	21	gold%		10	40									1	lgld	jewl										0	0	0
of Prosperity	100	1	1	26		19				10	22	mag%		5	20									1	dgld	jewl										0	0	0
of Knowledge	100	1	1	9		6				10	23	enr		1	8									1	lblu	jewl										0	0	0
of Knowledge	100	1	1	24		18				10	23	enr		9	16									1	dblu	jewl										0	0	0
of Knowledge	100	1		41		33				10	23	enr		17	24									1	cblu	jewl										0	0	0
of Spirit	100	1	1	1		1				16	26	hp		3	16									1	dred	jewl										0	0	0
of Spirit	100	1	1	28		21				16	26	hp		17	32									1	dred	jewl										0	0	0
of Spirit	100	1		45		37				10	26	hp		33	64									1	cred	jewl										0	0	0
of Freedom	100	1	1	1		1				10	30	ease		-15	-30									1	dpur	jewl										0	0	0
of Virility	100	1	1	9		6				10	31	str		1	8									1	dred	jewl										0	0	0
of Virility	100	1	1	24		18				10	31	str		9	16									1	dred	jewl										0	0	0
of Virility	100	1		41		33				10	31	str		17	24									1	dred	jewl										0	0	0
of the Werewolf	100	1	1	6		5				2	32	str/lvl	1											1	dgry	jewl										0	0	0
of the Werewolf	100	1	1	18		15				2	32	str/lvl	2											1	dgry	jewl										0	0	0
of the Werewolf	100	1	1	36		30				2	32	str/lvl	3											1	dgry	jewl										0	0	0
of the Werewolf	100	1		54		45				2	32	str/lvl	4											1	dgry	jewl										0	0	0
of the Werewolf	100	1		72		60				2	32	str/lvl	5											1	dgry	jewl										0	0	0
of the Wererat	100	1	1	6		5				2	33	dex/lvl	1											1	blac	jewl										0	0	0
of the Wererat	100	1	1	18		15				2	33	dex/lvl	2											1	blac	jewl										0	0	0
of the Wererat	100	1	1	36		30				2	33	dex/lvl	3											1	blac	jewl										0	0	0
of the Wererat	100	1		54		45				2	33	dex/lvl	4											1	blac	jewl										0	0	0
of the Wererat	100	1		72		60				2	33	dex/lvl	5											1	blac	jewl										0	0	0
of the Werebear	100	1	1	6		5				2	34	vit/lvl	1											1	dgry	jewl										0	0	0
of the Werebear	100	1	1	18		15				2	34	vit/lvl	2											1	dgry	jewl										0	0	0
of the Werebear	100	1	1	36		30				2	34	vit/lvl	3											1	dgry	jewl										0	0	0
of the Werebear	100	1		54		45				2	34	vit/lvl	4											1	dgry	jewl										0	0	0
of the Werebear	100	1		72		60				2	34	vit/lvl	5											1	dgry	jewl										0	0	0
of the Weretiger	100	1	1	6		5				2	35	enr/lvl	1											1	blac	jewl										0	0	0
of the Weretiger	100	1	1	18		15				2	35	enr/lvl	2											1	blac	jewl										0	0	0
of the Weretiger	100	1	1	36		30				2	35	enr/lvl	3											1	blac	jewl										0	0	0
of the Weretiger	100	1		54		45				2	35	enr/lvl	4											1	blac	jewl										0	0	0
of the Weretiger	100	1		72		60				2	35	enr/lvl	5											1	blac	jewl										0	0	0
of Shielding	100	1		70		50				5	36	res-all		7	12	res-all-max		2	2					1	lpur	jewl										0	0	0
of Wrath	100	1	1	15	45	10				1	1	dmg-demon		25	25									1	dred	arrm	boqm									0	0	0
of Smiting	100	1	1	15	45	10				1	2	dmg-undead		25	25									1	whit	arrm	boqm									0	0	0
of Molasses	100	1	1	15	45	10				1	3	slow		10	10									1	lgry	arrm	boqm									0	0	0
of Piercing	100	1	1	15	45	10				1	4	pierce		10	10									1	blac	arrm	boqm									0	0	0
of Plenty	100		1	15	45	10				1	5	stack	50	50	50									1	lgld	arrm	boqm									0	0	0
of Wrath	100	1	1	30	60	20				1	1	dmg-demon		50	50									1	dred	arrm	boqm									0	0	0
of Smiting	100	1	1	30	60	20				1	2	dmg-undead		50	50									1	whit	arrm	boqm									0	0	0
of Molasses	100	1	1	30	60	20				1	3	slow		15	15									1	lgry	arrm	boqm									0	0	0
of Piercing	100	1	1	30	60	20				1	4	pierce		15	15									1	blac	arrm	boqm									0	0	0
of Plenty	100		1	30	60	20				1	5	stack	100	100	100									1	lgld	arrm	boqm									0	0	0
of Wrath	100	1	1	45		30				1	1	dmg-demon		75	75									1	dred	arrm	boqm									0	0	0
of Smiting	100	1	1	45		30				1	2	dmg-undead		75	75									1	whit	arrm	boqm									0	0	0
of Molasses	100	1	1	45		30				1	3	slow		20	20									1	lgry	arrm	boqm									0	0	0
of Piercing	100	1	1	45		30				1	4	pierce		20	20									1	blac	arrm	boqm									0	0	0
of Plenty	100		1	45		30				1	5	stack	150	150	150									1	lgld	arrm	boqm									0	0	0
of Wrath	100	1	1	60		40				1	1	dmg-demon		100	100									1	dred	arrm	boqm									0	0	0
of Smiting	100	1	1	60		40				1	2	dmg-undead		100	100									1	whit	arrm	boqm									0	0	0
of Molasses	100	1	1	60		40				1	3	slow		25	25									1	lgry	arrm	boqm									0	0	0
of Piercing	100	1	1	60		40				1	4	pierce		25	25									1	blac	arrm	boqm									0	0	0
of Plenty	100		1	60		40				1	5	stack	200	200	200									1	lgld	arrm	boqm									0	0	0
ChitNor	100	1	1	1		1				1	101	randomize		1	120											chw1	cha1									0	0	0
ChitNM	100	1	1	1		1				1	101	randomize		1	120											chw2	cha2									0	0	0
ChitHell	100	1	1	1		1				1	101	randomize		1	120											chw3	cha3									0	0	0
RndStone	100	1	1	1		1				1	101	randomize		1	511											rstn										0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Holy Fire H	1	12											helm										0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Freeze H	1	12											helm										0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Shock H	1	12											helm										0	0	0
of Skill Master	100	1	1	72		54		nec	30	1	58	oskill	Poison Mastery	1	4											amul	ring	helm	tors	pole						0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Cancel Cres	1	1											mrn0										0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Super Salvation	1	1											mrn1										0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Poverty	1	1											mrn2										0	0	0
of Static Field	100	1	1	1		1				1	50	gethit-skill	Static Field	33	33	hit-skill	Static Field	33	33							mrn3										0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Cancel Fres	1	1											mrn4										0	0	0
of Damage	100	1	1	15	45	10				1	5	dmg%		10	10									1	lgld	arrm	boqm									0	0	0
of Damage	100	1	1	30	60	20				1	5	dmg%		15	15									1	lgld	arrm	boqm									0	0	0
of Damage	100	1	1	45		30				1	5	dmg%		20	20									1	lgld	arrm	boqm									0	0	0
of Damage	100	1	1	45		30				1	5	dmg%		20	20									1	lgld	arrm	boqm									0	0	0
of Explosive Arrow	100	1	1	36	63	30				3	60	explosivearrow		5	10											miss										0	0	0
of Explosive Arrow	100	1	1	64		55				3	60	explosivearrow		11	16											miss										0	0	0
of Magic Arrow	100	1	1	36	63	30				3	60	magicarrow		9	16											miss										0	0	0
of Magic Arrow	100	1	1	64		55				3	60	magicarrow		17	24											miss										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-fire		1	3											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-cold		1	3											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-ltng		1	3											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-pois		1	3											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	37	extra-fire		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	37	extra-cold		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	37	extra-ltng		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	37	extra-pois		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	37	extra-mag2		1	3											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	37	extra-wind		1	3											jewl										0	0	0
of Command	100	1	1	64		42				5	37	extra-summ		4	8											jewl										0	0	0
of Decrepify	100	1	1	12	36	10				2	60	hit-skill	Decrepify	1	4											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepify	100	1	1	24	48	20				2	60	hit-skill	Decrepify	4	6											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepify	100	1	1	36		30				2	60	hit-skill	Decrepify	6	8											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepify	100	1	1	48		40				2	60	hit-skill	Decrepify	8	10											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepify	100	1	1	60		50				2	60	hit-skill	Decrepify	10	12											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Lower Resist	100	1	1	12	36	10				1	60	hit-skill	Lower Resist	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Lower Resist	100	1	1	24	48	20				1	60	hit-skill	Lower Resist	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Lower Resist	100	1	1	36		30				1	60	hit-skill	Lower Resist	1	2											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Lower Resist	100	1	1	48		40				1	60	hit-skill	Lower Resist	2	2											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Lower Resist	100	1	1	60		50				1	60	hit-skill	Lower Resist	2	3											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Pierce Flesh and Bone	100	1	1	12	36	10				1	60	hit-skill	Poison Mastery	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Pierce Flesh and Bone	100	1	1	24	48	20				1	60	hit-skill	Poison Mastery	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Pierce Flesh and Bone	100	1	1	36		30				1	60	hit-skill	Poison Mastery	1	2											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Pierce Flesh and Bone	100	1	1	48		40				1	60	hit-skill	Poison Mastery	2	2											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Pierce Flesh and Bone	100	1	1	60		50				1	60	hit-skill	Poison Mastery	2	3											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of the Pyromancer	100	0	1	42		42				4	63	extra-fire		3	5										dred	staf	mana	h2h	orb							0	0	0
of the Pyromancer	100	0	1	48		48				4	63	extra-fire		6	9										dred	staf	mana	h2h	orb							0	0	0
of the Pyromancer	100	0	1	72		72				2	63	extra-fire		10	12										dred	staf	mana	h2h	orb							0	0	0
of Zeus	100	0	1	42		42				4	63	extra-ltng		3	5										dyel	staf	mana	h2h	orb							0	0	0
of Zeus	100	0	1	48		48				4	63	extra-ltng		6	9										dyel	staf	mana	h2h	orb							0	0	0
of Zeus	100	0	1	72		72				2	63	extra-ltng		10	12										dyel	staf	mana	h2h	orb							0	0	0
of the Frost Wyrm	100	0	1	42		42				4	63	extra-cold		3	5										dblu	staf	mana	h2h	orb							0	0	0
of the Frost Wyrm	100	0	1	48		48				4	63	extra-cold		6	9										dblu	staf	mana	h2h	orb							0	0	0
of the Frost Wyrm	100	0	1	72		72				2	63	extra-cold		10	12										dblu	staf	mana	h2h	orb							0	0	0
of the Manticore	100	0	1	42		42				4	63	extra-pois		3	5										dgrn	wand	ndgr									0	0	0
of the Manticore	100	0	1	48		48				4	63	extra-pois		6	9										dgrn	wand	ndgr									0	0	0
of the Manticore	100	0	1	72		72				2	63	extra-pois		10	12										dgrn	wand	ndgr									0	0	0
of the Warlock	100	0	1	42		42				4	63	extra-mag2		3	5										whit	wand	ndgr	dclb	scep							0	0	0
of the Warlock	100	0	1	48		48				4	63	extra-mag2		6	9										whit	wand	ndgr	dclb	scep							0	0	0
of the Warlock	100	0	1	72		72				2	63	extra-mag2		10	12										whit	wand	ndgr	dclb	scep							0	0	0
of the Stone Golem	100	0	1	42		42				4	63	extra-wind		3	5										dgry	dclb	phlm									0	0	0
of the Stone Golem	100	0	1	48		48				4	63	extra-wind		6	9										dgry	dclb	phlm									0	0	0
of the Stone Golem	100	0	1	72		72				2	63	extra-wind		10	12										dgry	dclb	phlm									0	0	0
of the Beastmaster	100	0	1	36	42	36				4	63	extra-summ		4	6										dgld	wand	ndgr	dclb	phlm	head						0	0	0
of the Beastmaster	100	0	1	42		42				4	63	extra-summ		6	10										dgld	wand	ndgr	dclb	phlm	head						0	0	0
of the Beastmaster	100	0	1	48		48				4	63	extra-summ		10	18										dgld	wand	ndgr	dclb	phlm	head						0	0	0
of the Pyromancer	100	0	1	42		42				4	62	pierce-fire		3	5										dred	staf	mana	h2h								0	0	0
of the Pyromancer	100	0	1	48		48				4	62	pierce-fire		6	9										dred	staf	mana	h2h								0	0	0
of the Pyromancer	100	0	1	72		72				2	62	pierce-fire		10	12										dred	staf	mana	h2h								0	0	0
of Zeus	100	0	1	42		42				4	62	pierce-ltng		3	5										dyel	staf	mana	h2h								0	0	0
of Zeus	100	0	1	48		48				4	62	pierce-ltng		6	9										dyel	staf	mana	h2h								0	0	0
of Zeus	100	0	1	72		72				2	62	pierce-ltng		10	12										dyel	staf	mana	h2h								0	0	0
of the Frost Wyrm	100	0	1	42		42				4	62	pierce-cold		3	5										dblu	staf	mana	h2h								0	0	0
of the Frost Wyrm	100	0	1	48		48				4	62	pierce-cold		6	9										dblu	staf	mana	h2h								0	0	0
of the Frost Wyrm	100	0	1	72		72				2	62	pierce-cold		10	12										dblu	staf	mana	h2h								0	0	0
of the Manticore	100	0	1	42		42				4	62	pierce-pois		3	5										dgrn	wand	ndgr	head								0	0	0
of the Manticore	100	0	1	48		48				4	62	pierce-pois		6	9										dgrn	wand	ndgr	head								0	0	0
of the Manticore	100	0	1	72		72				2	62	pierce-pois		10	12										dgrn	wand	ndgr	head								0	0	0
of the Arcanist	100	0	1	42		42				4	63	pierce-mag		3	5										whit	wand	ndgr	dclb	scep							0	0	0
of the Arcanist	100	0	1	48		48				4	63	pierce-mag		6	9										whit	wand	ndgr	dclb	scep							0	0	0
of the Arcanist	100	0	1	72		72				2	63	pierce-mag		10	12										whit	wand	ndgr	dclb	scep							0	0	0
of the Earth	100	0	1	42		42				4	63	pierce-phys		3	5										dgry	dclb	phlm									0	0	0
of the Earth	100	0	1	48		48				4	63	pierce-phys		6	9										dgry	dclb	phlm									0	0	0
of the Earth	100	0	1	72		72				2	63	pierce-phys		10	12										dgry	dclb	phlm									0	0	0
of the Sky	100	0	1	20		18				12	42	all-stats		10	15											amul	ring	circ	rod								0	0
of the Stars	100	0	1	44		40				12	42	all-stats		16	25											amul	ring	circ	rod								0	0
of the Heavens	100	0	1	69		64				12	42	all-stats		26	30											amul	ring	circ	rod								0	0
of the Zodiac	100	0	1	86		83				12	42	all-stats		31	35											amul	ring	circ	rod								0	0
